ticker,symbol,updated_date,price,market_cap_cr,eps,book_value,pe,pb,roe,roce,dividend_yield,debt_to_equity,sales_cr,profit_growth_3yr,sales_growth_3yr,promoter_holding,pledged_pct,error
ABINFRA.NS,ABINFRA,2026-09-01T04:36:03.702192,11.35,725.0259456,0.3,2.552,37.833332,4.447492,,,,,,,,59.19,,
ABLBL.NS,ABLBL,2026-09-01T04:36:04.807899,85.39,10371.7953536,1.45,11.57,58.889652,7.380294,,,,,,,,46.6,,
ABMINTLLTD.NS,ABMINTLLTD,2026-09-01T04:36:05.961187,55.18,51.913344,,12.949,,4.261333,,,,,,,,74.7,,
ABMKNO.NS,ABMKNO,2026-09-01T04:36:07.118558,196.7,,4.22,147.313,46.611378,1.335252,,,,,,,,64.93,,
ABREL.NS,ABREL,2026-09-01T04:36:08.370146,1351.1,14940.1714688,,334.576,,4.0382457,,,,,,,,47.75,,
ABSLAMC.NS,ABSLAMC,2026-09-01T04:36:09.592144,1016.3,29407.5039744,34.79,139.944,29.212416,7.2621903,,,,,,,,86.5,,
ACC.NS,ACC,2026-09-01T04:36:10.762855,1282.2,24078.082048,101.38,1094.352,12.647465,1.1716522,,15.0,,,,,,54.53,,
ACCELYA.NS,ACCELYA,2026-09-01T04:36:11.950231,1130.0,1686.6674688,63.85,167.571,17.69773,6.74341,,95.0,,,,,,74.66,,
ACCURACY.NS,ACCURACY,2026-09-01T04:36:13.117588,4.42,66.54752,0.26,8.504,17.0,0.5197554,,,,,,,,62.94,,
ACE.NS,ACE,2026-09-01T04:36:14.277544,1106.3,13168.0559104,36.73,168.988,30.119795,6.546619,,3.0,,,,,,73.1,,
